trial, rcvdMessage_Tomato_WPA2_1.txt;
1-/device-7, 147 31123673.040338 random 580469 40 30 330 25 90 285 205 0 50 250 35 5 265 210 0 190;
1-/device-2, 111 31123675.049599 random 584554 95 35 0 35 0 225 115 285 205 205 40 260 40 70 295 225 0;
1-/device-5, 119 31123675.089748 random 591124 5 20 70 205 210 0 60 230 205 60 20 30 185 210 30 275 0 0 55 25;
1-/device-4, 118 31123676.408465 random 580670 25 30 240 215 190 100 105 10 295 190 0 210 210 35 45;
1-/device-3, 116 31123676.449515 random 583124 95 35 0 5 155 210 0 50 140 60 245 210 190 205 0 40 170 55 15;
1-/device-1, 106 31123679.089209 random 568507 5 45 240 0 25 215 45 315 315 210 190 0 45 260 105 220 220;
1-/device-6, 133 31123681.122951 random 585045 90 205 60 150 195 5 305 210 65 230 200 105 195;
1-/device-8, 149 31123681.63039 random 537199 0 190 30 45 125 0 0 85 210 210 5 0 80 220 50 250 250 100 10 65 35 210 20;
2-/device-2, 111 31129600.216669 solid 584554 0;
2-/device-3, 116 31129603.348505 solid 583124 0;
2-/device-4, 118 31129603.90303 solid 580670 0;
2-/device-1, 106 31129605.463689 solid 568507 0;
2-/device-6, 133 31129608.71101 solid 585045 0;
2-/device-8, 149 31129613.594611 solid 537199 0;
2-/device-7, 147 31129707.932751 solid 580469 0;
2-/device-5, 119 31129708.54134 solid 591124 0;
3-/device-5, 119 31135651.642979 random 591124 45 0 70 290 0 300 0 45 265 195 0 210 210 205 100 195 195 5 25;
3-/device-4, 118 31135652.855439 random 580670 0 20 40 50 180 305 20 35 150 200 35 260 0 105 310 0 0 195 30;
3-/device-7, 147 31135654.045264 random 580469 195 25 180 305 200 0 200 0 205 200 20 280 80 60;
3-/device-2, 111 31135654.853395 random 584554 70 30 45 90 135 15 35 15 255 315 100 125 270 150 65 25 50 75 60;
3-/device-8, 149 31135654.916726 random 537199 195 205 200 210 15 185 0 70 120 75 50 285 80 0 25 70 155;
3-/device-1, 106 31135654.947696 random 568507 45 255 155 125 150 280 0 190 90 30 150 235 160 5 45;
