trial, rcvdMessage_Tomato_open_network_1.txt;
1-/device-4, 118 32699315.09358 random 1051316 145 175 30 245 150 55 95 300 0 305 130 75 210 210 60;
1-/device-7, 147 32699315.654874 random 1045063 105 65 165 260 195 205 115 290 10 125 275 0 65 80 20;
1-/device-6, 133 32699316.419279 random 1045174 0 125 270 0 5 145 60 280 0 0 0 145 255 150 255 205 65;
1-/device-1, 106 32699316.442613 random 1056904 35 120 240 295 205 205 0 30 25 245 205 310 205 55;
1-/device-5, 119 32699317.444145 random 1044387 0 195 55 30 205 20 285 200 0 40 165 55 50 200 100 0 205 200 0;
1-/device-2, 111 32699320.318747 random 991732 105 160 215 205 205 50 255 200 200 205 105 0 205 60;
1-/device-3, 116 32699324.62411 random 1056161 45 15 125 200 25 45 125 195 0 20 175 205 200 205 5 300 60;
1-/device-8, 149 32699403.643525 random 1041350 110 200 200 80 315 75 230 205 0 75 230 0 70 135 0 60 105;
2-/device-1, 106 32704282.629421 solid 1056904 0;
2-/device-3, 116 32704283.940084 solid 1056161 0;
2-/device-4, 118 32704284.877113 solid 1051316 0;
2-/device-5, 119 32704287.566687 solid 1044387 0;
2-/device-6, 133 32704290.03816 solid 1045174 0;
2-/device-7, 147 32704291.137675 solid 1045063 0;
2-/device-8, 149 32704294.757425 solid 1041350 0;
2-/device-2, 111 32704315.793171 solid 991732 0;
3-/device-1, 106 32709347.513854 blinking 1056904 0;
3-/device-3, 116 32709347.528779 blinking 1056161 0;
3-/device-2, 111 32709347.942398 blinking 991732 0;
3-/device-7, 147 32709347.955026 blinking 1045063 0;
3-/device-4, 118 32709348.636426 blinking 1051316 0;
3-/device-5, 119 32709348.909136 blinking 1044387 0;
3-/device-6, 133 32709349.432631 blinking 1045174 0;
3-/device-8, 149 32709350.051327 blinking 1041350 0;
4-/device-7, 147 32714360.684859 blinking 1045063 0;
4-/device-4, 118 32714361.596804 blinking 1051316 0;
4-/device-1, 106 32714361.98574 blinking 1056904 0;
4-/device-6, 133 32714362.009407 blinking 1045174 0;
4-/device-2, 111 32714362.549516 blinking 991732 0;
4-/device-3, 116 32714362.56017 blinking 1056161 0;
4-/device-5, 119 32714362.717957 blinking 1044387 0;
4-/device-8, 149 32714362.85425 blinking 1041350 0;
5-/device-1, 106 32719280.623967 blinking 1056904 0;
5-/device-2, 111 32719283.546904 blinking 991732 0;
5-/device-3, 116 32719285.337308 blinking 1056161 0;
5-/device-4, 118 32719285.474137 blinking 1051316 0;
5-/device-5, 119 32719287.953281 blinking 1044387 0;
5-/device-6, 133 32719289.088679 blinking 1045174 0;
5-/device-7, 147 32719292.55348 blinking 1045063 0;
5-/device-8, 149 32719294.589476 blinking 1041350 0;
6-/device-2, 111 32724284.893061 blinking 991732 0;
6-/device-5, 119 32724296.861769 blinking 1044387 0;
6-/device-1, 106 32724390.052945 blinking 1056904 0;
6-/device-6, 133 32724390.06994 blinking 1045174 0;
6-/device-7, 147 32724390.391979 blinking 1045063 0;
6-/device-4, 118 32724390.40495 blinking 1051316 0;
6-/device-3, 116 32724391.490206 blinking 1056161 0;
6-/device-8, 149 32724392.161033 blinking 1041350 0;
7-/device-7, 147 32729309.138376 random 1045063 195 205 0 0 10 290 0 195 315 55 145 0 300 300 145 85 0 0 20;
7-/device-4, 118 32729309.323908 random 1051316 50 145 210 195 20 280 65 245 95 0 305 215 30 10 0 155 155;
7-/device-1, 106 32729309.761037 random 1056904 95 205 205 0 10 15 265 200 210 200 45 255 60 250 5;
7-/device-3, 116 32729311.349155 random 1056161 300 220 0 40 245 5 50 0 140 210 300 0 315 35 0 165 0;
7-/device-2, 111 32729311.37492 random 991732 195 210 0 90 210 0 0 45 40 110 310 0 0 200 300 40 275 0 0;
7-/device-6, 133 32729311.533697 random 1045174 0 300 0 210 195 200 205 205 200 205 205 210 210 0 30 0 15;
7-/device-5, 119 32729312.289206 random 1044387 0 295 0 0 60 235 100 70 30 65 115 40 45 85 140 210 315 135 15;
7-/device-8, 149 32729312.520843 random 1041350 195 60 20 235 80 5 205 70 235 205 5 195 315 205 0;
8-/device-1, 106 32734281.401573 solid 1056904 0;
8-/device-2, 111 32734284.233242 solid 991732 0;
8-/device-3, 116 32734287.658482 solid 1056161 0;
8-/device-4, 118 32734287.815966 solid 1051316 0;
8-/device-8, 149 32734293.52465 solid 1041350 0;
8-/device-6, 133 32734319.798308 solid 1045174 0;
8-/device-5, 119 32734320.197732 solid 1044387 0;
8-/device-7, 147 32734320.225357 solid 1045063 0;
9-/device-1, 106 32739359.157046 random 1056904 185 0 200 45 280 35 135 15 25 65 195 70 130 210 195 0 70 25;
9-/device-8, 149 32739359.182153 random 1041350 0 285 60 35 335 75 5 190 80 60 260 305 110 80 25;
9-/device-3, 116 32739361.617037 random 1056161 15 265 0 200 15 215 5 170 205 135 380 35 155 100 5;
9-/device-2, 111 32739361.847623 random 991732 185 15 45 140 100 35 230 240 0 205 0 200 100 205 75 225;
9-/device-4, 118 32739362.208665 random 1051316 0 180 305 305 230 0 0 75 35 65 200 305 215 0 195 75 25;
9-/device-6, 133 32739362.225898 random 1045174 35 250 0 0 200 15 40 175 175 60 145 5 95 75 220 200 200 10;
9-/device-7, 147 32739363.071962 random 1045063 185 0 200 75 250 0 15 260 10 195 75 335 50 55 185 10;
9-/device-5, 119 32739363.089344 random 1044387 0 0 185 200 10 30 285 35 40 305 155 355 0 195 0 110;
10-/device-2, 111 32744286.409877 blinking 991732 0;
10-/device-1, 106 32744286.75059 blinking 1056904 0;
10-/device-4, 118 32744295.170724 blinking 1051316 0;
10-/device-6, 133 32744298.461923 blinking 1045174 0;
10-/device-7, 147 32744298.47823 blinking 1045063 0;
10-/device-5, 119 32744355.644966 blinking 1044387 0;
10-/device-3, 116 32744356.67796 blinking 1056161 0;
10-/device-8, 149 32744357.685134 blinking 1041350 0;
11-/device-3, 116 32749380.43289 solid 1056161 0;
11-/device-4, 118 32749380.852954 solid 1051316 0;
11-/device-5, 119 32749380.865457 solid 1044387 0;
11-/device-7, 147 32749381.368987 solid 1045063 0;
11-/device-1, 106 32749381.798786 solid 1056904 0;
11-/device-2, 111 32749382.410229 solid 991732 0;
11-/device-8, 149 32749382.893487 solid 1041350 0;
11-/device-6, 133 32749382.904539 solid 1045174 0;
12-/device-1, 106 32754289.844924 blinking 1056904 0;
12-/device-2, 111 32754289.860607 blinking 991732 0;
12-/device-7, 147 32754395.098433 blinking 1045063 0;
12-/device-5, 119 32754395.205647 blinking 1044387 0;
12-/device-4, 118 32754395.575335 blinking 1051316 0;
12-/device-3, 116 32754395.587313 blinking 1056161 0;
12-/device-6, 133 32754396.057678 blinking 1045174 0;
12-/device-8, 149 32754397.41778 blinking 1041350 0;
13-/device-3, 116 32759312.14119 solid 1056161 0;
13-/device-5, 119 32759312.567588 solid 1044387 0;
13-/device-6, 133 32759313.971751 solid 1045174 0;
13-/device-7, 147 32759313.988176 solid 1045063 0;
13-/device-8, 149 32759313.997022 solid 1041350 0;
13-/device-1, 106 32759314.537751 solid 1056904 0;
13-/device-2, 111 32759315.606449 solid 991732 0;
13-/device-4, 118 32759315.623761 solid 1051316 0;
14-/device-4, 118 32764330.008661 blinking 1051316 0;
14-/device-1, 106 32764330.361792 blinking 1056904 0;
14-/device-3, 116 32764330.789259 blinking 1056161 0;
14-/device-5, 119 32764331.275773 blinking 1044387 0;
14-/device-2, 111 32764332.070667 blinking 991732 0;
14-/device-6, 133 32764332.35698 blinking 1045174 0;
14-/device-8, 149 32764332.788794 blinking 1041350 0;
14-/device-7, 147 32764332.800329 blinking 1045063 0;
15-/device-2, 111 32769346.265937 solid 991732 0;
15-/device-4, 118 32769346.28137 solid 1051316 0;
15-/device-3, 116 32769346.728396 solid 1056161 0;
15-/device-1, 106 32769347.768033 solid 1056904 0;
15-/device-6, 133 32769347.959262 solid 1045174 0;
15-/device-5, 119 32769348.35438 solid 1044387 0;
15-/device-8, 149 32769349.820425 solid 1041350 0;
15-/device-7, 147 32769349.836086 solid 1045063 0;
16-/device-3, 116 32774369.348317 random 1056161 0 55 35 70 130 305 0 200 45 260 10 195 0 210 0 10 275 0 75;
16-/device-2, 111 32774369.410749 random 991732 0 10 180 200 75 230 30 10 55 5 100 200 310 65 210 200;
16-/device-8, 149 32774370.684608 random 1041350 105 190 205 155 255 145 260 60 245 35 15 140 85;
