trial, sentMessage_Tomato_WPA2_4.txt;
1-/device-1, 106 31459580.903126 random 215 197 179 194 98 109 183 36 238 221 45 91 226;
1-/device-2, 111 31459800.826968 blinking 0;
1-/device-3, 116 31460020.793531 blinking 0;
1-/device-4, 118 31460260.771775 solid 0;
1-/device-5, 119 31460480.74933 random 192 186 110 230 132 161 46 74 112 125 181 205 34 82 123 197;
1-/device-6, 133 31460720.833075 solid 0;
1-/device-7, 147 31460940.840194 blinking 0;
2-/device-8, 149 31461160.732247 solid 0;
2-/device-1, 106 31464580.945067 solid 0;
2-/device-2, 111 31464800.822791 solid 0;
2-/device-3, 116 31465020.745267 random 123 200 20 41 13 94 177 219 13 226 37 23 35 186 156 81 5 68 38 93 136 200;
2-/device-4, 118 31465260.832574 solid 0;
2-/device-5, 119 31465480.805815 blinking 0;
2-/device-6, 133 31465720.813131 random 1 69 180 52 65 132 75 27 170 6 232 77 60 165 225 86 149 220 14;
2-/device-7, 147 31465940.864339 solid 0;
3-/device-8, 149 31466160.807603 blinking 0;
3-/device-1, 106 31469580.884033 solid 0;
3-/device-2, 111 31469800.742083 solid 0;
3-/device-3, 116 31470020.825458 solid 0;
3-/device-4, 118 31470260.840282 solid 0;
3-/device-5, 119 31470480.827622 random 141 186 200 191 213 246 85 246 212 170 77 115;
3-/device-6, 133 31470720.706042 blinking 0;
3-/device-7, 147 31470940.794085 blinking 0;
4-/device-8, 149 31471160.752511 solid 0;
4-/device-1, 106 31474581.228441 blinking 0;
4-/device-2, 111 31474800.765595 blinking 0;
4-/device-3, 116 31475020.833737 random 105 249 183 153 150 195 123 189 19 85 155 74 208 193;
4-/device-4, 118 31475260.827664 solid 0;
4-/device-5, 119 31475480.847119 blinking 0;
4-/device-6, 133 31475720.809045 blinking 0;
4-/device-7, 147 31475940.845041 solid 0;
5-/device-8, 149 31476160.758613 solid 0;
5-/device-1, 106 31479580.847192 solid 0;
5-/device-2, 111 31479800.833871 random 19 137 206 244 170 86 104 186 211 175 160 142 36 21 233;
5-/device-3, 116 31480020.727771 solid 0;
5-/device-4, 118 31480260.794189 random 54 224 113 131 7 69 105 126 90 43 198 172 219 155 192 141;
5-/device-5, 119 31480480.80393 solid 0;
5-/device-6, 133 31480720.843484 solid 0;
5-/device-7, 147 31480940.735307 solid 0;
6-/device-8, 149 31481160.763806 solid 0;
6-/device-1, 106 31484580.846636 random 175 103 227 226 142 236 51 134 62 233 35 66 158 98 25 243;
6-/device-2, 111 31484800.772549 random 96 121 119 55 157 89 34 91 2 14 207 239 241 203 17 244 56 233;
6-/device-3, 116 31485020.705029 blinking 0;
6-/device-4, 118 31485260.72268 random 190 98 220 217 138 238 30 181 136 82 174 138 119 6 236;
6-/device-5, 119 31485480.77395 random 197 153 64 196 21 108 1 244 121 83 92 14 222 88 119 173 240;
6-/device-6, 133 31485720.834925 random 39 162 87 234 249 217 238 155 167 52 98 248 125;
6-/device-7, 147 31485940.829438 blinking 0;
7-/device-8, 149 31486160.850122 blinking 0;
7-/device-1, 106 31489580.861605 random 114 3 245 70 58 146 173 9 195 178 136 211 70 69 17 154 100 33 211;
7-/device-2, 111 31489800.832661 solid 0;
7-/device-3, 116 31490020.823082 random 34 167 109 156 3 41 103 189 135 163 216 181 16 75 0 40 68 64 24 223;
7-/device-4, 118 31490260.831146 random 130 93 215 67 126 15 109 77 114 11 111 69 144 67 5 40 91 231 179 246;
7-/device-5, 119 31490480.816101 solid 0;
7-/device-6, 133 31490720.841287 solid 0;
7-/device-7, 147 31490940.810597 blinking 0;
8-/device-8, 149 31491160.744909 solid 0;
8-/device-1, 106 31494580.842857 solid 0;
8-/device-2, 111 31494800.833442 solid 0;
8-/device-3, 116 31495020.730762 solid 0;
8-/device-4, 118 31495260.816668 blinking 0;
8-/device-5, 119 31495480.83446 solid 0;
8-/device-6, 133 31495720.832617 blinking 0;
