trial, sentMessage_Netgear_WPA2_6.txt;
1-/device-2, 3 9279354.882403 solid 0;
1-/device-3, 3 9279354.946965 solid 0;
1-/device-4, 3 9279354.982171 solid 0;
1-/device-5, 3 9279355.019403 solid 0;
1-/device-6, 3 9279355.054982 solid 0;
1-/device-7, 3 9279355.089061 solid 0;
1-/device-8, 3 9279355.123403 solid 0;
1-/device-1, 3 9279355.15744 solid 0;
2-/device-2, 3 9285355.217416 blinking 0;
2-/device-3, 3 9285355.274615 blinking 0;
2-/device-4, 3 9285355.310503 blinking 0;
2-/device-5, 3 9285355.448006 blinking 0;
2-/device-6, 3 9285355.534775 blinking 0;
2-/device-7, 3 9285355.639696 blinking 0;
2-/device-8, 3 9285355.773316 blinking 0;
2-/device-1, 3 9285355.822786 blinking 0;
3-/device-2, 3 9291354.83192 blinking 0;
3-/device-3, 3 9291354.903352 blinking 0;
3-/device-4, 3 9291354.976864 blinking 0;
3-/device-5, 3 9291355.013179 blinking 0;
3-/device-6, 3 9291355.622618 blinking 0;
3-/device-7, 3 9291355.725443 blinking 0;
3-/device-8, 3 9291355.928734 blinking 0;
3-/device-1, 3 9291356.033993 blinking 0;
