trial, sentMessage_Tomato_WPA2_1.txt;
1-/device-1, 115 8771480.443814 random 44 41 61 219 193 228 191 36 129 23 111 190 227 182 120 191;
1-/device-2, 106 8771480.48709 random 136 61 109 59 215 88 46 115 33 51 95 195 248 203 164 79 206;
1-/device-3, 106 8771480.513049 random 80 212 113 74 5 87 210 118 192 15 2 2 231 156 208 145 231;
1-/device-4, 106 8771480.535685 random 245 170 11 94 1 139 215 70 40 40 18 184 87 13 27 213 119 185 82 104;
1-/device-5, 106 8771480.563643 random 78 162 247 47 247 136 98 108 59 236 191 126 226 21 207;
1-/device-6, 106 8771480.58833 random 17 57 76 11 2 126 208 166 89 48 222 118 215 206 44 116 96 156 226;
1-/device-7, 106 8771480.610776 random 64 71 114 209 139 0 214 80 46 129 210 186 214 2 38 129 116 219;
1-/device-8, 106 8771480.636646 random 31 129 239 145 120 174 223 180 87 123 87 112 12 197 155;
2-/device-1, 115 8777480.563169 solid 0;
2-/device-2, 106 8777480.617242 solid 0;
2-/device-3, 106 8777480.811914 solid 0;
2-/device-4, 106 8777480.933753 solid 0;
2-/device-5, 106 8777481.008439 solid 0;
2-/device-6, 106 8777481.100602 solid 0;
2-/device-7, 106 8777481.206502 solid 0;
2-/device-8, 106 8777481.325508 solid 0;
3-/device-1, 115 8783480.441465 random 145 210 4 119 210 212 105 229 238 79 125 15 135 216;
3-/device-2, 106 8783480.483034 random 51 92 203 53 162 205 20 211 240 44 169 142 239 174;
3-/device-3, 106 8783480.51242 random 50 47 137 232 165 147 73 114 58 130 242 234 66 99 149 244;
3-/device-4, 106 8783480.535438 random 104 240 112 139 94 83 238 232 34 87 211 235 45 249;
3-/device-5, 106 8783480.562652 random 52 75 104 111 0 58 18 104 194 49 115 245 243 62 206 77 54 136 151;
3-/device-6, 106 8783480.616461 random 9 115 61 216 131 124 87 113 112 14 232 21 113 109 210 175 122 115;
3-/device-7, 106 8783480.646787 random 228 100 100 241 149 144 192 156 138 160 30 83 56 96 128;
3-/device-8, 106 8783480.67829 random 59 45 96 75 217 95 178 89 2 62 187 121 28 96 55 108 117 78 173 4 104 61;
