trial, sentMessage_Tomato_WPA2_1.txt;
1-/device-1, 106 31123594.494529 random 75 56 198 50 30 216 48 229 65 211 116 78 78 199 146 169 170;
1-/device-2, 111 31123594.53933 random 155 34 19 48 1 175 170 217 217 12 92 219 85 71 237 195 200;
1-/device-3, 116 31123594.568326 random 166 32 3 21 136 166 2 116 105 103 161 236 222 168 50 66 148 81 116;
1-/device-4, 118 31123594.598487 random 103 20 219 224 193 109 107 38 225 169 50 201 155 135 153;
1-/device-5, 119 31123594.624139 random 54 49 70 148 179 52 106 162 197 140 26 24 133 210 89 195 63 4 78 145;
1-/device-6, 133 31123594.650027 random 168 107 166 130 163 56 220 233 136 204 165 160 233;
1-/device-7, 147 31123594.805596 random 104 48 236 126 89 198 247 33 63 229 65 9 204 201 17 207;
1-/device-8, 149 31123594.832652 random 85 112 110 54 83 5 11 106 207 185 7 34 86 191 82 155 3 177 33 64 36 152 127;
2-/device-1, 106 31129594.618843 solid 0;
2-/device-2, 111 31129595.223903 solid 0;
2-/device-3, 116 31129595.273932 solid 0;
2-/device-4, 118 31129595.306136 solid 0;
2-/device-5, 119 31129595.453188 solid 0;
2-/device-6, 133 31129595.491371 solid 0;
2-/device-7, 147 31129595.521723 solid 0;
2-/device-8, 149 31129595.618731 solid 0;
3-/device-1, 106 31135594.485483 random 95 203 220 127 150 212 79 182 101 27 155 172 176 38 199;
3-/device-2, 111 31135594.529584 random 129 35 46 92 144 12 40 16 244 230 194 134 178 199 67 63 56 18 119;
3-/device-3, 116 31135595.096818 random 117 187 129 106 79 54 231 72 193 8 106 123 177 244 174;
3-/device-4, 118 31135595.121123 random 26 50 46 54 165 228 121 37 105 223 66 203 33 114 178 89 10 146 145;
3-/device-5, 119 31135595.142005 random 94 1 72 233 38 226 7 142 229 147 69 132 73 182 89 173 1 69 30;
3-/device-6, 133 31135595.16495 random 76 76 33 164 117 170 213 150 31 121 133 139 217 50 221 232;
3-/device-7, 147 31135595.187563 random 184 97 174 234 248 8 130 84 145 198 84 218 143 235;
3-/device-8, 149 31135595.212063 random 240 115 223 231 85 84 49 132 97 104 40 232 70 13 87 73 216;
4-/device-1, 106 31141594.658448 blinking 0;
4-/device-2, 111 31141595.872133 blinking 0;
4-/device-3, 116 31141595.902855 blinking 0;
4-/device-4, 118 31141595.932753 blinking 0;
4-/device-5, 119 31141596.092605 blinking 0;
4-/device-6, 133 31141596.121824 blinking 0;
4-/device-7, 147 31141596.148281 blinking 0;
4-/device-8, 149 31141596.175393 blinking 0;
5-/device-1, 106 31147594.549347 solid 0;
5-/device-2, 111 31147594.606058 solid 0;
5-/device-3, 116 31147594.639208 solid 0;
5-/device-4, 118 31147594.820846 solid 0;
5-/device-5, 119 31147594.935203 solid 0;
5-/device-6, 133 31147595.081027 solid 0;
5-/device-7, 147 31147595.110995 solid 0;
5-/device-8, 149 31147595.141195 solid 0;
6-/device-1, 106 31153594.513134 solid 0;
6-/device-2, 111 31153594.569127 solid 0;
6-/device-3, 116 31153594.603607 solid 0;
6-/device-4, 118 31153594.739578 solid 0;
6-/device-5, 119 31153594.778159 solid 0;
6-/device-6, 133 31153594.811443 solid 0;
6-/device-7, 147 31153594.953225 solid 0;
6-/device-8, 149 31153595.169731 solid 0;
7-/device-1, 106 31159594.691962 solid 0;
7-/device-2, 111 31159594.753156 solid 0;
7-/device-3, 116 31159594.790119 solid 0;
7-/device-4, 118 31159594.828409 solid 0;
7-/device-5, 119 31159594.971189 solid 0;
7-/device-6, 133 31159595.006193 solid 0;
7-/device-7, 147 31159595.03896 solid 0;
7-/device-8, 149 31159595.16046 solid 0;
8-/device-1, 106 31165594.664993 blinking 0;
8-/device-2, 111 31165594.724907 blinking 0;
8-/device-3, 116 31165594.758479 blinking 0;
8-/device-4, 118 31165594.795985 blinking 0;
8-/device-5, 119 31165594.885114 blinking 0;
8-/device-6, 133 31165594.917844 blinking 0;
8-/device-7, 147 31165594.948096 blinking 0;
8-/device-8, 149 31165594.981562 blinking 0;
9-/device-1, 106 31171594.67068 random 58 62 51 135 218 138 199 160 111 243 242 58 148 144 203;
9-/device-2, 111 31171594.71403 random 96 26 41 64 235 217 24 49 220 116 63 149 10 153 103 6 98 132 38 68 75 150;
9-/device-3, 116 31171595.349169 random 19 245 127 147 6 84 190 124 117 53 234 14 47 186 236 94 48 231;
9-/device-4, 118 31171595.393436 random 77 0 158 155 181 18 76 205 214 245 18 197 66 106 136 99 83;
9-/device-5, 119 31171595.415973 random 140 160 94 128 145 91 45 186 92 62 129 82 97 231 182 200;
