trial, rcvdMessage_Tomato_open_network_2.txt;
1-/device-1, 106 32799052.109043 solid 1056904 0;
1-/device-2, 111 32799243.6973 solid 991732 0;
1-/device-3, 116 32799448.685368 solid 1056161 0;
1-/device-4, 118 32799756.736916 solid 1051316 0;
1-/device-5, 119 32799964.22782 solid 1044387 0;
1-/device-6, 133 32800135.548008 solid 1045174 0;
1-/device-7, 147 32800372.891661 solid 1045063 0;
2-/device-8, 149 32800679.697709 solid 1041350 0;
2-/device-1, 106 32804067.273855 blinking 1056904 0;
2-/device-2, 111 32804261.831744 blinking 991732 0;
2-/device-3, 116 32804466.699575 blinking 1056161 0;
2-/device-4, 118 32804876.757551 blinking 1051316 0;
2-/device-5, 119 32804977.753911 blinking 1044387 0;
2-/device-6, 133 32805183.698035 blinking 1045174 0;
2-/device-7, 147 32805392.573911 blinking 1045063 0;
3-/device-8, 149 32805599.82843 blinking 1041350 0;
3-/device-1, 106 32809074.657828 blinking 1056904 0;
3-/device-2, 111 32809290.391264 blinking 991732 0;
3-/device-3, 116 32809484.395511 blinking 1056161 0;
3-/device-4, 118 32809688.280185 blinking 1051316 0;
3-/device-5, 119 32809996.653245 blinking 1044387 0;
3-/device-6, 133 32810205.81308 blinking 1045174 0;
3-/device-7, 147 32810360.632976 blinking 1045063 0;
4-/device-8, 149 32810611.690564 blinking 1041350 0;
4-/device-1, 106 32814093.172777 solid 1056904 0;
4-/device-2, 111 32814297.161843 solid 991732 0;
4-/device-3, 116 32814503.452306 solid 1056161 0;
4-/device-4, 118 32814706.295372 solid 1051316 0;
4-/device-5, 119 32814911.907446 solid 1044387 0;
4-/device-6, 133 32815385.502732 solid 1045174 0;
4-/device-7, 147 32815425.957538 solid 1045063 0;
5-/device-8, 149 32815629.990836 solid 1041350 0;
5-/device-1, 106 32819007.354861 random 1056904 70 330 0 0 20 180 5 195 200 210 200 200 0 40 270 30;
5-/device-2, 111 32819328.381134 random 991732 75 215 75 230 75 45 50 45 290 25 70 200 210 0 195 0 35 30;
5-/device-3, 116 32819520.231992 random 1056161 55 45 35 265 210 0 0 100 295 40 265 65 25 215 205 0 0 35 30;
5-/device-4, 118 32819724.794158 random 1051316 15 190 210 5 0 15 270 50 245 310 0 200 75 130 0 10 190;
5-/device-5, 119 32819930.625387 random 1044387 160 5 60 285 0 300 85 220 0 200 205 135 120 145 45;
5-/device-6, 133 32820149.783978 random 1045174 10 150 335 145 125 100 55 50 50 265 205 200 310 0;
5-/device-7, 147 32820448.081346 random 1045063 0 55 40 60 70 170 80 230 200 0 0 300 25 70 15 5 180 205 0 5 15 185 0 0;
6-/device-8, 149 32820651.20579 random 1041350 0 35 10 75 275 0 45 255 40 30 335 50 150 210 200 200 210 15;
6-/device-1, 106 32824026.745342 solid 1056904 0;
6-/device-2, 111 32824230.732342 solid 991732 0;
6-/device-3, 116 32824538.054575 solid 1056161 0;
6-/device-4, 118 32824742.775606 solid 1051316 0;
6-/device-5, 119 32824895.666289 solid 1044387 0;
6-/device-6, 133 32825143.45533 solid 1045174 0;
6-/device-7, 147 32825390.954211 solid 1045063 0;
7-/device-8, 149 32825579.513773 solid 1041350 0;
