trial, sentMessage_Tomato_open_network_4.txt;
1-/device-1, 106 33072193.599501 solid 0;
1-/device-2, 111 33072413.531031 random 248 20 225 40 102 154 57 181 110 201 47 108 116 32 215 150;
1-/device-3, 116 33072633.576267 random 241 54 155 137 125 106 113 28 118 72 139 70 194 213 65 248;
1-/device-4, 118 33072873.574522 random 120 25 233 192 225 90 36 89 114 91 225 10 127 149 65 159 13 22 89;
1-/device-5, 119 33073093.585531 solid 0;
1-/device-6, 133 33073333.564955 blinking 0;
1-/device-7, 147 33073553.440917 solid 0;
2-/device-8, 149 33073773.53659 solid 0;
2-/device-1, 106 33077193.583377 blinking 0;
2-/device-2, 111 33077413.475472 random 22 155 7 67 176 70 38 41 58 18 181 109 83 102 127 192 9 124 88 138 224;
2-/device-3, 116 33077633.460869 solid 0;
2-/device-4, 118 33077873.461353 random 26 221 72 136 184 109 12 192 81 56 2 139 135 223 47 205 232;
2-/device-5, 119 33078093.525039 blinking 0;
2-/device-6, 133 33078333.549255 blinking 0;
2-/device-7, 147 33078553.482729 blinking 0;
3-/device-8, 149 33078773.525639 random 211 154 144 16 122 214 104 222 97 224 237 233 36;
3-/device-1, 106 33082193.533759 random 99 67 117 126 30 44 67 37 222 219 2 223 201 193 249 241;
3-/device-2, 111 33082413.52525 random 47 143 130 148 163 20 189 141 143 132 45 204 24 49 231 112 115;
3-/device-3, 116 33082633.543185 solid 0;
3-/device-4, 118 33082873.582914 random 195 199 99 98 181 30 28 122 226 173 104 131 23 167 120 130;
3-/device-5, 119 33083093.56753 solid 0;
3-/device-6, 133 33083333.479948 random 140 202 52 61 3 134 73 245 231 53 19 99 2 60 210 227 103 155;
3-/device-7, 147 33083553.56725 blinking 0;
4-/device-8, 149 33083773.567528 blinking 0;
4-/device-1, 106 33087193.582472 blinking 0;
4-/device-2, 111 33087413.556198 solid 0;
4-/device-3, 116 33087633.559908 solid 0;
4-/device-4, 118 33087873.562313 solid 0;
4-/device-5, 119 33088093.569234 blinking 0;
4-/device-6, 133 33088333.559392 solid 0;
4-/device-7, 147 33088553.567664 blinking 0;
5-/device-8, 149 33088773.596457 random 135 158 247 147 87 9 154 215 194 63 63 87 96 221 147;
5-/device-1, 106 33092193.526548 random 46 21 186 193 33 221 211 202 183 225 107 216 129 120;
5-/device-2, 111 33092413.560232 blinking 0;
5-/device-3, 116 33092633.566914 random 216 39 40 211 20 48 99 181 40 153 184 248 162 10 102 94 222;
5-/device-4, 118 33092873.5487 blinking 0;
5-/device-5, 119 33093093.533876 random 181 172 198 175 80 169 247 161 163 78 138 40 183 93;
5-/device-6, 133 33093333.526474 random 158 167 151 28 176 170 4 152 219 71 156 106 2 158 137 60 79 21;
5-/device-7, 147 33093553.57765 solid 0;
6-/device-8, 149 33093773.537111 solid 0;
6-/device-1, 106 33097193.582617 random 87 191 159 213 74 41 5 119 84 164 128 37 85 81 26 168 7 92 123 246;
6-/device-2, 111 33097413.543801 solid 0;
6-/device-3, 116 33097633.559994 blinking 0;
6-/device-4, 118 33097873.525871 blinking 0;
6-/device-5, 119 33098093.593802 random 105 119 103 87 84 197 112 128 48 227 233 130 116 190 178;
6-/device-6, 133 33098333.56863 solid 0;
6-/device-7, 147 33098553.556929 random 144 174 224 106 158 103 233 22 213 238 44 138 79 20 25 221;
7-/device-8, 149 33098773.568254 blinking 0;
7-/device-1, 106 33102193.476254 blinking 0;
7-/device-2, 111 33102413.55595 solid 0;
7-/device-3, 116 33102633.581128 random 242 198 155 1 5 161 177 32 99 87 227 103 214 214 208;
7-/device-4, 118 33102873.610646 random 210 14 42 175 157 229 184 227 208 3 45 135 150 202 61;
7-/device-5, 119 33103093.5277 blinking 0;
7-/device-6, 133 33103333.561158 random 39 180 19 249 191 131 155 95 219 89 43 65 187 72 44 214 246;
7-/device-7, 147 33103553.596734 blinking 0;
8-/device-8, 149 33103773.543723 blinking 0;
8-/device-1, 106 33107193.563921 random 228 172 244 108 122 158 209 66 226 127 230 184;
8-/device-2, 111 33107413.572285 blinking 0;
8-/device-3, 116 33107633.553961 solid 0;
8-/device-4, 118 33107873.46401 solid 0;
8-/device-5, 119 33108093.562011 blinking 0;
8-/device-6, 133 33108333.585627 random 70 38 125 85 111 139 176 155 130 74 3 56 207 220 122 205 155;
8-/device-7, 147 33108553.514485 solid 0;
9-/device-8, 149 33108773.570919 solid 0;
9-/device-1, 106 33112193.530938 solid 0;
9-/device-2, 111 33112413.552776 random 65 195 36 242 102 230 65 102 108 48 226 29 28 71 42 112 172 119 181;
9-/device-3, 116 33112633.545302 random 154 22 113 158 64 101 65 68 17 105 125 14 181 55 132 57 48 239 66 141 140;
9-/device-4, 118 33112873.566785 solid 0;
9-/device-5, 119 33113093.560398 solid 0;
9-/device-6, 133 33113333.565048 blinking 0;
9-/device-7, 147 33113553.571064 blinking 0;
10-/device-8, 149 33113773.579551 random 193 125 195 154 22 67 2 38 116 218 62 185 76 126 136 79 231;
10-/device-1, 106 33117193.491321 solid 0;
10-/device-2, 111 33117413.553769 blinking 0;
10-/device-3, 116 33117633.44055 blinking 0;
10-/device-4, 118 33117873.562469 random 49 22 242 234 220 96 120 141 136 182 85 64 162 82 71 110;
10-/device-5, 119 33118093.520155 random 167 40 22 86 68 210 117 168 212 44 246 59 101 140 242 51 215;
10-/device-6, 133 33118333.487374 blinking 0;
10-/device-7, 147 33118553.571626 solid 0;
11-/device-8, 149 33118773.560944 solid 0;
11-/device-1, 106 33122193.53568 solid 0;
11-/device-2, 111 33122413.56669 random 149 173 114 159 67 75 11 167 76 182 49 181 233 0 46 176 42 183;
11-/device-3, 116 33122633.454006 blinking 0;
11-/device-4, 118 33122873.490906 blinking 0;
11-/device-5, 119 33123093.563495 random 236 4 158 56 160 238 207 83 227 176 80 9 5 90 126 147;
11-/device-6, 133 33123333.559599 random 182 121 171 72 130 216 103 183 189 242 124 126 144;
11-/device-7, 147 33123553.446211 blinking 0;
12-/device-8, 149 33123773.580926 random 160 19 136 118 121 157 73 131 83 217 87 146 189 152 39 91 215;
12-/device-1, 106 33127193.59063 blinking 0;
12-/device-2, 111 33127413.476818 blinking 0;
12-/device-3, 116 33127633.562666 random 44 76 227 106 101 170 235 175 27 159 35 127 229 243 18 194;
12-/device-4, 118 33127873.569516 random 129 147 27 58 53 189 161 240 123 112 121 51 59 128 40 1 165 51 13 54 186;
12-/device-5, 119 33128093.564483 random 80 83 198 54 85 19 110 63 101 194 126 225 238 249 240;
12-/device-6, 133 33128333.560808 random 120 162 192 116 96 51 183 23 146 13 66 74 214 237 32 80 12 105 50 8 139;
12-/device-7, 147 33128553.573134 blinking 0;
13-/device-8, 149 33128773.490038 solid 0;
13-/device-1, 106 33132193.580731 blinking 0;
13-/device-2, 111 33132413.470805 random 207 101 244 39 55 163 35 3 72 24 109 76 239 89 80 88 119 6 234 140;
13-/device-3, 116 33132633.557099 blinking 0;
13-/device-4, 118 33132873.561353 random 176 146 99 120 218 212 179 5 55 63 215 107 109 31 242 187;
13-/device-5, 119 33133093.520448 random 50 214 222 5 28 120 175 142 222 70 164 160 167 118 132 194;
13-/device-6, 133 33133333.555981 solid 0;
13-/device-7, 147 33133553.538947 blinking 0;
14-/device-8, 149 33133773.56292 blinking 0;
14-/device-1, 106 33137193.578614 random 181 1 81 59 182 204 204 8 236 26 42 18 249 12 128 137 221 88;
