trial, rcvdMessage_Tomato_WPA2_2.txt;
1-/device-1, 106 31238357.492199 solid 568507 0;
1-/device-2, 111 31238562.282513 solid 584554 0;
1-/device-3, 116 31238768.324744 solid 583124 0;
1-/device-4, 118 31238972.158399 solid 580670 0;
1-/device-5, 119 31239176.867176 solid 591124 0;
1-/device-6, 133 31239483.840579 solid 585045 0;
1-/device-7, 147 31239689.371482 solid 580469 0;
1-/device-8, 149 31239894.680706 solid 537199 0;
2-/device-1, 106 31244271.477932 random 568507 35 190 25 275 0 10 150 30 5 20 135 245 205 75 15 105 320 75 30;
2-/device-2, 111 31244502.054121 random 584554 205 305 100 200 200 75 95 120 30 300 130 150 30 20;
2-/device-3, 116 31244708.382714 random 583124 200 205 205 55 145 205 0 310 205 175 40 205 20;
2-/device-4, 118 31245016.837546 random 580670 2100 0 200 0 100 200 10 305 195 110 5 285 200 210 0 100 100;
2-/device-5, 119 31245219.895218 random 591124 200 10 295 0 210 205 205 190 45 165 190 15 190 205 205;
2-/device-6, 133 31245424.509021 random 585045 75 105 35 95 70 30 105 200 130 280 85 210 305 0 35 0 95 100;
2-/device-7, 147 31245631.434 random 580469 210 0 25 20 260 75 0 30 295 0 0 190 40 70 195 200 35 280 35;
2-/device-8, 149 31245946.917155 random 537199 0 0 305 305 0 30 0 280 35 255 310 0 300 40 255 60;
3-/device-1, 106 31250338.896196 solid 568507 0;
3-/device-2, 111 31250484.368044 solid 584554 0;
3-/device-3, 116 31250751.570782 solid 583124 0;
3-/device-4, 118 31250953.469307 solid 580670 0;
3-/device-5, 119 31251162.084132 solid 591124 0;
3-/device-6, 133 31251400.988337 solid 585045 0;
3-/device-7, 147 31251621.804162 solid 580469 0;
3-/device-8, 149 31251877.370696 solid 537199 0;
4-/device-1, 106 31256385.478155 random 568507 30 265 115 205 70 320 0 110 60 60 80 60 135 195 0 120 45;
4-/device-2, 111 31256586.091288 random 584554 5 305 75 115 55 125 55 285 285 0 65 340 0 200 310 0;
4-/device-3, 116 31256794.991446 random 583124 45 250 10 295 205 45 30 125 105 0 200 0 10 300 95 130 35;
4-/device-4, 118 31257011.946503 random 580670 5 180 65 240 100 35 75 200 200 205 75 5 320 55 35 215;
4-/device-5, 119 31257200.978044 random 591124 100 205 45 260 35 170 35 160 210 195 30 170 205 35 105;
4-/device-6, 133 31257406.363198 random 585045 50 45 315 0 10 85 145 255 120 285 90 215 200 70 95;
4-/device-7, 147 31257712.788911 random 580469 155 50 55 25 105 115 200 155 250 100 305 0 50 75 140 120;
4-/device-8, 149 31257926.427355 random 537199 200 35 270 200 205 25 175 200 310 70 0 255 255;
5-/device-1, 106 31262296.300485 blinking 568507 0;
5-/device-2, 111 31262627.121742 blinking 584554 0;
5-/device-3, 116 31262735.54602 blinking 583124 0;
5-/device-4, 118 31263045.916496 blinking 580670 0;
5-/device-5, 119 31263259.802679 blinking 591124 0;
5-/device-6, 133 31263405.387742 blinking 585045 0;
5-/device-7, 147 31263651.120134 blinking 580469 0;
5-/device-8, 149 31263857.796042 blinking 537199 0;
6-/device-1, 106 31268361.651391 blinking 568507 0;
6-/device-2, 111 31268566.475415 blinking 584554 0;
6-/device-3, 116 31268772.766616 blinking 583124 0;
6-/device-4, 118 31268976.463545 blinking 580670 0;
6-/device-5, 119 31269184.056457 blinking 591124 0;
6-/device-6, 133 31269488.049074 blinking 585045 0;
6-/device-7, 147 31269693.440721 blinking 580469 0;
6-/device-8, 149 31269913.556234 blinking 537199 0;
7-/device-1, 106 31274302.378046 random 568507 20 285 0 0 150 140 210 110 75 330 135 260 0 0 145 165;
7-/device-2, 111 31274509.464346 random 584554 200 155 85 0 60 210 20 20 125 135 35 260 65 155 295 30 35 55;
7-/device-3, 116 31274713.04504 random 583124 305 0 15 180 0 45 20 235 0 205 0 5 195 30 185 200 0 195 20 80 40;
7-/device-4, 118 31275022.548701 random 580670 0 200 205 45 255 200 215 0 200 95 310 125 40;
7-/device-5, 119 31275228.402458 random 591124 200 30 175 35 155 15 185 5 305 0 70 60 70 195 40 25 55 170 205 0;
7-/device-6, 133 31275434.066591 random 585045 85 45 255 205 10 90 110 290 145 60 195 305 0 30 130 70;
7-/device-7, 147 31275624.71442 random 580469 0 210 315 0 5 195 50 135 40 45 220 105 30 275 110 185 40;
7-/device-8, 149 31275943.998575 random 537199 75 320 5 60 245 200 200 20 185 195 210 200 0;
8-/device-1, 106 31280269.536331 solid 568507 0;
8-/device-2, 111 31280547.385429 solid 584554 0;
8-/device-3, 116 31280706.16618 solid 583124 0;
8-/device-4, 118 31280957.655486 solid 580670 0;
8-/device-5, 119 31281370.481983 solid 591124 0;
8-/device-6, 133 31281469.273461 solid 585045 0;
8-/device-7, 147 31281680.067103 solid 580469 0;
8-/device-8, 149 31281846.927664 solid 537199 0;
9-/device-1, 106 31286283.899346 solid 568507 0;
9-/device-2, 111 31286487.99315 solid 584554 0;
9-/device-3, 116 31286795.378253 solid 583124 0;
9-/device-4, 118 31286998.997879 solid 580670 0;
9-/device-5, 119 31287203.588964 solid 591124 0;
9-/device-6, 133 31287415.097112 solid 585045 0;
9-/device-7, 147 31287621.273549 solid 580469 0;
9-/device-8, 149 31287925.482148 solid 537199 0;
10-/device-1, 106 31292326.110326 random 568507 205 205 0 50 140 125 85 305 125 275 105 235 85;
10-/device-2, 111 31292530.815696 random 584554 90 55 50 130 235 45 15 290 100 90 125 120 70 195 220 0 95;
10-/device-3, 116 31292736.321411 random 583124 310 200 10 295 40 160 5 305 215 190 0 5 190 20;
10-/device-4, 118 31293049.845566 random 580670 80 215 305 70 345 0 215 10 295 0 190 30 170;
10-/device-5, 119 31293247.581569 random 591124 0 65 140 30 265 200 205 205 215 190 200 0 200 0;
10-/device-6, 133 31293454.444055 random 585045 35 70 5 290 90 35 295 15 290 95 290 5 50 90 35 105 0 115;
10-/device-7, 147 31293656.124567 random 580469 110 300 100 10 105 295 190 0 30 0 155 50 45 30 90 140 145 140;
10-/device-8, 149 31293862.565498 random 537199 205 305 30 185 0 285 0 205 195 205 100 200 15 20;
