trial, sentMessage_Tomato_WPA2_3.txt;
1-/device-1, 106 31353821.513524 random 93 230 69 157 220 215 120 32 67 10 141 86 77 153 147 169 82;
1-/device-2, 111 31353821.577964 solid 0;
1-/device-3, 116 31353822.303921 random 212 130 209 233 196 167 113 215 246 163 73 71;
1-/device-4, 118 31353822.344114 random 1 142 44 95 106 239 2 204 71 201 145 192 219 16 24 230 80;
1-/device-5, 119 31353822.379469 solid 0;
1-/device-6, 133 31353822.422024 blinking 0;
1-/device-7, 147 31353822.478167 solid 0;
1-/device-8, 149 31353822.512207 blinking 0;
2-/device-1, 106 31359821.549151 solid 0;
2-/device-2, 111 31359822.310938 solid 0;
2-/device-3, 116 31359822.346294 blinking 0;
2-/device-4, 118 31359822.383347 solid 0;
2-/device-5, 119 31359822.556295 blinking 0;
2-/device-6, 133 31359822.655401 solid 0;
2-/device-7, 147 31359822.720616 random 96 148 111 205 152 44 141 93 237 51 184 21 229 213 38 179;
2-/device-8, 149 31359822.756316 blinking 0;
3-/device-1, 106 31365821.483129 blinking 0;
3-/device-2, 111 31365821.562027 solid 0;
3-/device-3, 116 31365821.603151 random 235 60 23 176 209 92 131 181 100 101 88 104 176 56 161 155;
3-/device-4, 118 31365821.64405 random 22 46 141 81 244 220 161 220 85 102 69 240 74 19 131 137 83;
3-/device-5, 119 31365821.673118 random 47 178 11 171 64 186 191 208 200 128 136 42 54 105 54 180 38 88;
3-/device-6, 133 31365821.705545 blinking 0;
3-/device-7, 147 31365821.742487 blinking 0;
3-/device-8, 149 31365821.779364 blinking 0;
4-/device-1, 106 31371821.613259 random 228 107 24 68 244 102 53 162 214 2 99 31 186 228 107 236;
4-/device-2, 111 31371821.723379 solid 0;
4-/device-3, 116 31371821.780654 blinking 0;
4-/device-4, 118 31371821.82044 blinking 0;
4-/device-5, 119 31371821.975984 blinking 0;
4-/device-6, 133 31371822.096385 blinking 0;
4-/device-7, 147 31371822.325719 blinking 0;
4-/device-8, 149 31371822.363541 random 9 164 41 9 103 171 30 73 194 190 11 246 177 215 194 114 233;
5-/device-1, 106 31377821.390686 blinking 0;
5-/device-2, 111 31377821.460905 solid 0;
5-/device-3, 116 31377821.494681 blinking 0;
5-/device-4, 118 31377821.60865 blinking 0;
5-/device-5, 119 31377821.718421 random 236 96 125 141 72 117 118 17 225 65 14 2 136 123 227 42 50 202;
5-/device-6, 133 31377821.753354 random 51 16 40 191 34 146 212 204 88 26 15 17 34 57 86 182 148 33 244 0 13 150 9 119;
5-/device-7, 147 31377821.777481 solid 0;
5-/device-8, 149 31377821.815452 blinking 0;
6-/device-1, 106 31383821.566228 random 17 128 42 192 202 78 231 99 106 146 134 19 17 44 165 3 76 166 193;
6-/device-2, 111 31383821.629009 blinking 0;
6-/device-3, 116 31383821.683404 solid 0;
6-/device-4, 118 31383821.722311 solid 0;
6-/device-5, 119 31383821.896842 random 31 11 227 136 55 104 196 161 42 216 13 208 114 139 44 81 189 137;
6-/device-6, 133 31383821.933946 solid 0;
6-/device-7, 147 31383821.970124 blinking 0;
6-/device-8, 149 31383822.14173 random 185 60 64 66 222 128 20 191 76 237 45 206 100 123 46 138 109;
