trial, sentMessage_Tomato_open_network_2.txt;
1-/device-1, 106 32798992.226938 solid 0;
1-/device-2, 111 32799212.237062 solid 0;
1-/device-3, 116 32799432.240277 solid 0;
1-/device-4, 118 32799672.256522 solid 0;
1-/device-5, 119 32799892.221026 solid 0;
1-/device-6, 133 32800132.168249 solid 0;
1-/device-7, 147 32800352.254 solid 0;
2-/device-8, 149 32800572.207682 solid 0;
2-/device-1, 106 32803992.170738 blinking 0;
2-/device-2, 111 32804212.26051 blinking 0;
2-/device-3, 116 32804432.161179 blinking 0;
2-/device-4, 118 32804672.185171 blinking 0;
2-/device-5, 119 32804892.157528 blinking 0;
2-/device-6, 133 32805132.145254 blinking 0;
2-/device-7, 147 32805352.260687 blinking 0;
3-/device-8, 149 32805572.166739 blinking 0;
3-/device-1, 106 32808992.16484 blinking 0;
3-/device-2, 111 32809212.221851 blinking 0;
3-/device-3, 116 32809432.1184 blinking 0;
3-/device-4, 118 32809672.243764 blinking 0;
3-/device-5, 119 32809892.258231 blinking 0;
3-/device-6, 133 32810132.141305 blinking 0;
3-/device-7, 147 32810352.239544 blinking 0;
4-/device-8, 149 32810572.165478 blinking 0;
4-/device-1, 106 32813992.247959 solid 0;
4-/device-2, 111 32814212.238707 solid 0;
4-/device-3, 116 32814432.226075 solid 0;
4-/device-4, 118 32814672.241457 solid 0;
4-/device-5, 119 32814892.195133 solid 0;
4-/device-6, 133 32815132.261055 solid 0;
4-/device-7, 147 32815352.246587 solid 0;
5-/device-8, 149 32815572.225028 solid 0;
5-/device-1, 106 32818992.171752 random 86 249 4 65 41 120 65 168 206 137 213 194 45 100 248 143;
5-/device-2, 111 32819212.115767 random 170 151 164 190 119 46 54 38 221 106 66 153 156 34 241 4 53 86;
5-/device-3, 116 32819432.196331 random 143 45 42 187 173 29 8 163 235 127 197 133 27 174 145 5 45 77 233;
5-/device-4, 118 32819672.190942 random 66 159 191 54 12 17 179 147 227 247 31 189 120 108 4 55 242;
5-/device-5, 119 32819892.224584 random 196 11 59 211 45 224 194 160 27 220 193 155 128 153 44;
5-/device-6, 133 32820132.121533 random 30 150 244 243 129 81 82 53 36 216 227 236 240 246;
5-/device-7, 147 32820352.137725 random 37 108 41 70 71 116 134 214 113 67 22 230 120 49 40 8 98 185 70 41 17 124 4 32;
6-/device-8, 149 32820572.17537 random 47 66 14 83 230 8 87 205 82 38 232 153 74 218 177 80 148 75;
6-/device-1, 106 32823992.165202 solid 0;
6-/device-2, 111 32824212.253457 solid 0;
6-/device-3, 116 32824432.149069 solid 0;
6-/device-4, 118 32824672.242295 solid 0;
6-/device-5, 119 32824892.258161 solid 0;
6-/device-6, 133 32825132.148345 solid 0;
6-/device-7, 147 32825352.296942 solid 0;
7-/device-8, 149 32825572.161821 solid 0;
7-/device-1, 106 32828992.176456 solid 0;
7-/device-2, 111 32829212.24182 solid 0;
7-/device-3, 116 32829432.23784 solid 0;
7-/device-4, 118 32829672.231311 solid 0;
7-/device-5, 119 32829892.139019 solid 0;
7-/device-6, 133 32830132.134856 solid 0;
7-/device-7, 147 32830352.258737 solid 0;
8-/device-8, 149 32830572.25548 solid 0;
8-/device-1, 106 32833992.184143 blinking 0;
8-/device-2, 111 32834212.238803 blinking 0;
8-/device-3, 116 32834432.164284 blinking 0;
8-/device-4, 118 32834672.166634 blinking 0;
8-/device-5, 119 32834892.24309 blinking 0;
8-/device-6, 133 32835132.122213 blinking 0;
8-/device-7, 147 32835352.148724 blinking 0;
9-/device-8, 149 32835572.171254 blinking 0;
9-/device-1, 106 32838992.171001 random 153 235 97 128 245 38 26 234 194 30 38 119 248 57 176;
9-/device-2, 111 32839212.193864 random 163 189 243 245 72 175 80 75 220 127 160 175 151;
9-/device-3, 116 32839432.237354 random 82 131 94 126 33 230 40 155 139 56 40 72 241 118 148 228 202;
9-/device-4, 118 32839672.244722 random 87 40 96 220 138 25 1 236 79 213 141 81 187 121 209 211;
9-/device-5, 119 32839892.225575 random 185 10 35 158 198 131 203 209 77 211 94 26 232 209 132;
9-/device-6, 133 32840132.202248 random 203 209 59 244 83 45 174 179 205 149 55 181 243;
9-/device-7, 147 32840352.234281 random 83 245 162 248 122 38 126 19 241 77 179 165 222 104;
10-/device-8, 149 32840572.139235 random 238 113 104 84 75 119 213 138 100 195 85 234 140 2 143 65;
10-/device-1, 106 32843992.247379 blinking 0;
10-/device-2, 111 32844212.164628 blinking 0;
10-/device-3, 116 32844432.131977 blinking 0;
10-/device-4, 118 32844672.225273 blinking 0;
